aX,aY,aZ,gX,gY,gZ
0.940,0.550,-0.862,638.489,161.316,-108.093
0.547,0.174,-0.567,610.535,129.822,-131.836
0.273,-0.269,-0.073,564.453,78.979,-154.602
0.141,-0.651,0.276,510.498,20.630,-162.476
0.104,-1.037,0.414,463.440,-24.048,-153.137
-0.107,-1.431,0.531,439.026,-42.419,-139.587
-0.319,-1.612,0.473,434.937,-32.227,-143.738
-0.673,-1.686,0.320,435.730,1.404,-157.471
-0.611,-1.904,0.586,437.744,33.508,-164.978
-1.287,-1.874,0.036,448.303,2.808,-173.279
-1.352,-1.990,0.232,453.735,4.028,-170.593
-1.377,-2.022,0.309,435.669,-2.563,-187.561
-1.085,-2.244,0.714,403.687,-20.813,-207.947
-0.491,-2.199,0.998,363.953,-48.218,-202.576
-0.078,-1.689,1.201,324.280,-85.693,-148.132
-0.228,-1.061,1.431,277.466,-121.338,-64.209
-0.339,-0.383,1.373,200.745,-137.085,-3.357
-0.380,0.063,1.108,113.403,-127.991,29.602
-0.501,0.227,0.855,46.997,-104.858,46.753
-0.585,0.235,0.568,3.235,-81.177,43.213
-0.412,0.185,0.203,-28.992,-55.908,29.541
-0.190,0.031,-0.198,-52.917,-36.743,25.146
-0.122,-0.249,-0.505,-71.472,-24.841,30.640
-0.178,-0.410,-0.838,-85.693,-20.264,40.710
-0.305,-0.555,-1.086,-87.463,-22.949,52.246
-0.426,-0.516,-1.284,-71.716,-35.156,52.795
-0.520,-0.544,-1.152,-34.973,-43.579,47.791
-0.471,-0.588,-0.836,4.089,-51.758,30.029
-0.301,-0.617,-0.337,33.630,-56.946,7.019
-0.135,-0.544,0.055,45.410,-64.636,-8.789
0.003,-0.404,0.344,37.659,-69.214,-14.282
0.104,-0.381,0.533,17.456,-65.979,-14.709
0.145,-0.403,0.597,-6.348,-50.903,-14.648
0.197,-0.482,0.506,-19.226,-29.419,-17.456
0.209,-0.669,0.473,-15.503,-2.441,-24.841
0.179,-0.733,0.382,-13.184,26.123,-35.583
0.144,-0.791,0.233,-19.897,48.767,-39.124
0.048,-0.772,0.023,-35.461,58.289,-40.649
-0.050,-0.794,-0.146,-59.021,45.166,-37.659
-0.129,-0.871,-0.272,-81.848,28.931,-25.696
-0.113,-0.962,-0.402,-96.619,10.742,-14.832
-0.038,-1.091,-0.460,-98.694,-6.226,-10.742
-0.011,-1.191,-0.467,-86.792,-19.531,-9.705
0.040,-1.214,-0.397,-63.049,-27.649,-11.047
0.077,-1.208,-0.206,-37.354,-28.748,-18.494
0.165,-1.181,-0.015,-21.118,-23.376,-30.640
0.296,-1.140,0.101,-18.372,-12.085,-38.757
0.358,-1.141,0.173,-24.963,-2.991,-35.706
0.312,-1.155,0.177,-38.330,2.869,-25.024
0.275,-1.184,0.130,-53.711,6.592,-15.015
0.229,-1.215,0.036,-65.735,9.094,-7.507
0.189,-1.295,-0.044,-65.552,10.193,-2.441
0.103,-1.323,-0.050,-48.645,9.338,-0.977
0.079,-1.297,-0.007,-21.667,6.042,-4.089
0.131,-1.190,0.074,0.671,2.625,-9.338
0.174,-1.141,0.200,9.827,-2.258,-11.902
0.259,-1.154,0.293,5.188,-6.897,-11.108
0.331,-1.164,0.323,-7.629,-9.766,-5.310
0.328,-1.181,0.304,-20.264,-10.071,4.700
0.239,-1.227,0.252,-26.978,-7.324,13.611
0.176,-1.277,0.212,-25.330,0.183,13.489
0.126,-1.266,0.179,-16.296,8.972,6.165
0.096,-1.245,0.215,-2.441,16.296,-2.075
0.064,-1.200,0.224,5.493,19.897,-7.874
0.072,-1.147,0.185,5.066,17.639,-9.094
0.064,-1.108,0.135,-2.563,11.841,-4.639
0.039,-1.115,0.085,-11.475,5.920,1.343
0.040,-1.119,0.042,-17.517,1.038,5.066
0.057,-1.128,0.007,-20.264,-0.854,6.714
0.075,-1.131,-0.062,-19.897,-0.732,7.935
0.077,-1.176,-0.098,-13.489,1.770,7.996
0.076,-1.192,-0.106,-5.310,6.409,4.944
0.082,-1.163,-0.067,1.709,11.047,1.831
0.091,-1.126,0.001,5.127,13.306,1.465
0.089,-1.096,0.035,1.465,12.207,4.089
0.087,-1.080,0.035,-6.042,9.827,7.935
0.097,-1.063,0.021,-13.306,7.202,11.230
0.113,-1.068,-0.003,-19.897,6.409,14.038
0.106,-1.092,-0.020,-27.710,5.737,17.395
0.102,-1.103,-0.049,-35.339,1.770,20.569
0.121,-1.105,-0.095,-41.016,-2.991,25.452
0.120,-1.126,-0.113,-40.894,-4.333,29.236
0.141,-1.114,-0.099,-35.278,-0.793,26.611
0.163,-1.091,-0.044,-28.015,6.836,24.475
0.176,-1.056,0.007,-23.865,14.404,24.780
0.175,-1.002,0.064,-26.733,20.691,27.039
0.164,-0.951,0.118,-35.645,24.719,30.579
0.157,-0.888,0.184,-49.927,27.161,35.217
0.195,-0.854,0.200,-70.007,28.015,40.894
0.232,-0.865,0.124,-96.558,27.893,48.767
0.181,-0.935,0.087,-120.117,28.503,58.228
0.117,-0.961,0.042,-133.972,28.320,64.148
0.094,-0.951,0.026,-137.024,26.550,65.552
0.093,-0.905,0.061,-136.169,24.902,64.331
0.087,-0.856,0.139,-137.634,21.545,62.927
0.101,-0.799,0.243,-143.738,15.198,63.293
0.117,-0.715,0.333,-154.846,6.042,66.223
0.108,-0.639,0.442,-169.067,-3.296,70.618
0.104,-0.576,0.540,-184.387,-10.742,74.341
0.109,-0.528,0.615,-199.768,-15.076,75.928
0.108,-0.516,0.666,-214.905,-15.503,75.806
0.097,-0.515,0.709,-229.797,-12.756,74.280
