aX,aY,aZ,gX,gY,gZ
-0.283,0.838,-0.443,18.372,19.287,2.625
-0.304,0.858,-0.438,24.170,18.372,4.333
-0.334,0.894,-0.396,30.945,18.555,4.883
-0.349,0.925,-0.333,35.950,17.212,4.395
-0.342,0.937,-0.287,37.231,13.489,3.601
-0.321,0.938,-0.258,35.278,8.057,3.418
-0.316,0.928,-0.245,31.982,4.089,3.967
-0.315,0.924,-0.236,28.870,2.625,4.150
-0.291,0.918,-0.231,26.733,2.625,3.662
-0.258,0.918,-0.215,24.963,2.747,3.967
-0.250,0.925,-0.218,21.912,1.709,5.798
-0.251,0.929,-0.229,19.409,1.099,7.874
-0.270,0.921,-0.247,19.226,2.441,9.094
-0.281,0.911,-0.276,21.240,6.104,9.583
-0.283,0.897,-0.308,25.818,10.132,9.094
-0.272,0.891,-0.321,33.447,13.672,9.216
-0.248,0.881,-0.306,41.504,17.761,9.827
-0.246,0.894,-0.293,46.631,20.020,11.047
-0.256,0.919,-0.257,50.354,19.775,13.428
-0.276,0.944,-0.217,52.124,18.677,15.625
-0.294,0.961,-0.193,52.185,17.273,17.334
-0.306,0.965,-0.179,52.368,15.259,18.494
-0.315,0.958,-0.188,52.917,13.733,18.982
-0.326,0.936,-0.229,54.688,13.306,19.409
-0.332,0.917,-0.295,60.242,15.442,19.714
-0.345,0.920,-0.340,71.045,20.752,20.264
-0.353,0.912,-0.350,84.534,27.405,20.264
-0.387,0.916,-0.359,97.717,29.358,19.836
-0.416,0.916,-0.369,110.718,26.978,18.127
-0.438,0.895,-0.390,125.488,23.743,15.503
-0.445,0.857,-0.391,144.897,23.437,12.085
-0.427,0.799,-0.394,168.945,28.137,7.812
-0.406,0.738,-0.415,195.862,39.978,2.319
-0.384,0.677,-0.386,228.516,58.044,-3.052
-0.357,0.609,-0.367,263.428,78.796,-9.155
-0.338,0.551,-0.362,300.110,100.769,-16.052
-0.317,0.483,-0.256,341.125,124.084,-23.499
-0.297,0.420,-0.112,380.920,142.517,-29.785
-0.231,0.349,-0.032,413.696,154.541,-33.752
-0.171,0.281,0.032,439.270,162.354,-36.499
-0.131,0.205,0.111,462.280,167.969,-38.574
-0.118,0.112,0.246,483.643,172.119,-38.635
-0.074,0.055,0.432,500.610,172.241,-38.025
-0.031,0.003,0.668,510.803,167.419,-35.889
0.010,-0.026,0.950,511.963,160.217,-33.386
0.077,-0.048,1.193,503.052,153.564,-31.189
0.189,-0.057,1.354,483.765,151.367,-28.015
0.283,-0.078,1.431,457.031,154.297,-23.621
0.302,-0.099,1.482,428.101,159.485,-18.494
0.272,-0.099,1.498,399.170,161.377,-13.306
0.110,-0.053,1.462,368.652,156.799,-9.277
0.004,-0.004,1.414,337.769,150.146,-10.864
-0.046,0.030,1.375,307.251,141.418,-18.616
-0.014,0.006,1.358,275.574,130.066,-29.785
0.087,-0.057,1.310,241.211,112.244,-39.673
0.191,-0.162,1.219,207.153,88.013,-43.701
0.286,-0.283,1.088,179.260,67.627,-41.138
0.371,-0.374,0.944,162.354,58.777,-35.339
0.365,-0.427,0.823,157.471,59.021,-29.419
0.329,-0.434,0.727,162.781,64.270,-21.484
0.264,-0.406,0.772,172.302,68.909,-13.794
0.152,-0.365,0.890,175.842,62.744,-7.996
0.102,-0.318,0.990,167.358,47.302,-5.981
0.123,-0.313,1.074,152.161,31.311,-8.667
0.177,-0.355,1.150,134.583,19.470,-13.367
0.254,-0.404,1.134,112.122,9.949,-17.151
0.331,-0.467,1.050,89.111,2.197,-18.311
0.396,-0.532,1.022,71.411,-1.892,-16.174
0.379,-0.539,0.938,57.434,-5.371,-10.559
0.354,-0.537,0.895,48.767,-3.052,-2.747
0.304,-0.509,0.904,44.983,-2.380,3.235
0.265,-0.478,0.975,41.626,-5.676,6.897
0.251,-0.444,1.007,32.715,-10.620,8.850
0.197,-0.429,0.992,19.104,-16.541,10.071
0.152,-0.431,0.975,6.531,-20.142,9.094
0.145,-0.446,0.966,-2.075,-19.531,5.493
0.153,-0.451,0.969,-7.812,-16.541,1.770
0.190,-0.456,0.987,-12.024,-11.841,-1.160
0.211,-0.451,0.990,-16.174,-7.874,-2.686
0.203,-0.449,0.999,-20.508,-6.775,-1.831
0.180,-0.434,0.981,-25.391,-8.789,0.549
0.159,-0.419,0.930,-30.273,-13.000,3.052
0.157,-0.411,0.875,-32.715,-16.785,3.906
0.171,-0.411,0.849,-30.396,-17.151,3.906
0.350,-0.380,2.041,-220.703,-26.367,-1.648
0.373,-0.422,2.022,-281.738,-36.560,0.488
0.387,-0.465,1.939,-340.515,-41.321,3.601
0.367,-0.480,1.871,-393.372,-44.312,9.216
0.355,-0.512,1.816,-442.261,-49.622,14.038
0.305,-0.522,1.687,-489.258,-55.115,17.395
0.293,-0.506,1.809,-531.616,-53.833,22.522
0.253,-0.553,1.877,-580.444,-62.012,27.588
0.289,-0.653,1.876,-637.695,-80.505,34.424
0.368,-0.783,1.686,-697.327,-105.835,44.495
0.398,-0.869,1.467,-749.390,-128.174,55.969
0.379,-0.990,1.209,-785.217,-142.395,68.115
0.335,-1.041,0.880,-806.274,-152.283,80.505
0.298,-1.047,0.461,-813.232,-158.752,92.285
0.246,-1.025,-0.113,-807.556,-163.940,98.938
0.174,-0.995,-0.799,-792.175,-173.218,97.900
0.132,-0.921,-1.617,-757.812,-191.406,93.506
-0.025,-0.798,-2.413,-689.636,-208.801,89.172
-0.098,-0.561,-2.769,-582.581,-209.167,82.764
-0.275,-0.298,-2.847,-449.219,-202.026,75.012
-0.408,0.073,-2.527,-308.533,-174.988,68.115
-0.496,0.440,-1.770,-173.279,-130.127,55.969
-0.467,0.772,-1.011,-77.332,-91.675,38.086
-0.332,0.970,-0.446,-31.860,-58.655,22.461
-0.238,1.037,-0.196,-27.039,-42.725,14.221
-0.214,1.006,-0.165,-38.574,-48.035,14.099
-0.184,0.932,-0.248,-47.180,-59.448,18.127
-0.128,0.877,-0.333,-45.349,-58.411,19.714
-0.081,0.880,-0.354,-31.921,-47.302,19.348
-0.073,0.911,-0.322,-15.747,-35.583,20.447
-0.115,0.946,-0.308,-2.502,-28.564,22.644
-0.161,0.964,-0.257,9.888,-19.714,24.048
-0.166,0.979,-0.211,20.630,-6.531,22.583
-0.187,0.996,-0.217,27.222,7.935,20.630
-0.225,1.023,-0.193,31.982,20.752,20.203
-0.250,1.046,-0.203,30.823,27.222,20.569
-0.308,1.063,-0.237,26.123,26.367,21.118
-0.350,1.065,-0.282,24.170,22.949,20.142
-0.384,1.051,-0.273,24.597,21.179,17.090
-0.375,1.042,-0.295,24.475,17.761,12.512
-0.324,1.005,-0.352,22.400,11.475,9.460
-0.307,0.948,-0.424,23.743,6.836,8.240
-0.302,0.891,-0.520,30.701,10.010,7.507
-0.281,0.874,-0.590,45.532,17.700,6.714
-0.318,0.900,-0.436,65.247,26.367,6.165
-0.323,0.970,-0.248,73.853,29.785,6.409
-0.335,1.039,-0.129,65.857,23.804,7.812
-0.363,1.072,-0.065,50.110,14.465,9.094
-0.373,1.064,-0.090,33.386,7.385,8.850
-0.333,1.021,-0.160,20.813,2.991,6.653
-0.279,0.966,-0.215,14.221,1.160,4.822
-0.240,0.914,-0.278,10.681,0.854,4.883
-0.240,0.883,-0.339,10.254,2.441,6.348
-0.268,0.870,-0.376,14.282,5.371,6.897
-0.279,0.862,-0.437,20.935,9.705,6.287
-0.261,0.885,-0.424,30.518,15.503,5.615
-0.253,0.899,-0.344,38.879,20.508,5.249
-0.284,0.921,-0.290,40.222,20.020,6.165
-0.319,0.942,-0.248,37.781,15.869,6.348
-0.343,0.951,-0.240,33.752,11.597,5.005
-0.341,0.945,-0.224,31.372,9.094,2.686
-0.311,0.925,-0.208,28.992,7.141,0.427
-0.274,0.901,-0.214,25.208,4.333,-0.610
-0.244,0.880,-0.244,21.973,1.648,0.000
-0.226,0.875,-0.288,21.240,1.892,1.404
-0.220,0.880,-0.302,24.292,4.822,2.747
-0.216,0.903,-0.287,28.748,9.094,3.784
-0.239,0.924,-0.258,31.982,12.146,5.005
-0.259,0.941,-0.234,34.424,14.404,5.859
-0.269,0.950,-0.224,36.438,16.052,5.920
-0.271,0.952,-0.198,38.696,17.700,5.981
-0.268,0.951,-0.177,39.917,19.043,6.287
-0.267,0.960,-0.182,39.001,18.860,6.775
-0.271,0.963,-0.213,38.452,17.700,7.690
-0.295,0.958,-0.265,38.940,15.686,8.728
-0.318,0.959,-0.291,41.748,11.841,9.583
-0.340,0.951,-0.297,46.448,7.812,9.827
-0.349,0.934,-0.299,52.673,5.859,8.789
-0.333,0.900,-0.327,61.157,7.324,6.470
-0.308,0.859,-0.385,73.914,12.817,3.784
-0.300,0.818,-0.453,93.628,22.644,1.526
-0.290,0.779,-0.514,120.789,37.476,-0.977
-0.288,0.719,-0.578,153.870,55.298,-3.601
-0.301,0.675,-0.611,191.589,73.914,-7.263
-0.297,0.633,-0.588,232.422,92.529,-12.390
-0.297,0.574,-0.543,272.644,107.788,-18.250
-0.259,0.526,-0.487,311.768,119.202,-23.499
-0.240,0.459,-0.375,348.450,127.319,-27.527
-0.202,0.383,-0.196,382.629,133.545,-31.677
-0.193,0.340,-0.030,411.621,138.367,-35.889
-0.157,0.282,0.144,437.195,145.813,-39.673
-0.080,0.229,0.306,458.374,154.968,-42.542
-0.022,0.178,0.463,474.792,161.682,-43.945
0.025,0.139,0.654,484.375,165.649,-44.922
0.064,0.132,0.836,485.046,165.039,-45.166
0.109,0.134,0.969,477.112,160.156,-43.823
0.132,0.124,1.078,461.182,152.710,-41.870
0.115,0.106,1.198,439.880,142.578,-39.185
0.107,0.094,1.262,416.138,130.676,-34.668
0.088,0.105,1.252,388.916,120.117,-31.128
0.075,0.112,1.196,363.098,112.793,-32.349
0.049,0.071,1.169,342.529,105.957,-36.682
0.075,0.011,1.108,324.951,99.792,-40.894
0.158,-0.067,1.062,311.462,96.497,-45.105
0.269,-0.156,1.027,302.124,96.741,-47.119
0.296,-0.237,0.974,294.983,99.304,-44.434
0.297,-0.301,0.897,289.429,103.210,-41.016
0.262,-0.342,0.828,287.842,108.276,-40.100
